"region_id","common","class","sciname","category","status","year"
1,"bennett's sharpnose puffer","actinopterygii","canthigaster bennetti","LC",1,2020
1,"white-spotted puffer","actinopterygii","arothron hispidus","LC",1,2020
1,"stellate puffer","actinopterygii","arothron stellatus","LC",1,2020
1,"guineafowl puffer","actinopterygii","arothron meleagris","LC",1,2020
1,"hawksbill turtle","reptilia","eretmochelys imbricata","CR",0.2,2020
1,"yellow-bellied sea snake","reptilia","hydrophis platurus","LC",1,2020
1,"white thread fish","holothuroidea","holothuria leucospilota","LC",1,2020
1,"greenfish","holothuroidea","stichopus chloronotus","LC",1,2020
1,NA,"holothuroidea","holothuria fuscogilva","VU",0.6,2020
1,NA,"holothuroidea","holothuria hilla","LC",1,2020
1,NA,"holothuroidea","stichopus monotuberculatus","DD",NA,2020
1,NA,"holothuroidea","holothuria pervicax","LC",1,2020
1,NA,"holothuroidea","holothuria difficilis","LC",1,2020
1,"selenka's sea cucumber","holothuroidea","stichopus horrens","DD",NA,2020
1,NA,"holothuroidea","holothuria flavomaculata","LC",1,2020
1,"surf redfish","holothuroidea","actinopyga mauritiana","VU",0.6,2020
1,NA,"holothuroidea","mesothuria multipora","DD",NA,2020
1,"amberfish","holothuroidea","thelenota anax","DD",NA,2020
1,NA,"holothuroidea","holothuria turriscelsa","LC",1,2020
1,NA,"holothuroidea","holothuria pardalis","LC",1,2020
1,NA,"holothuroidea","holothuria discrepans","DD",NA,2020
1,"black teatfish","holothuroidea","holothuria whitmaei","EN",0.4,2020
1,NA,"holothuroidea","holothuria olivacea","DD",NA,2020
1,NA,"holothuroidea","holothuria glandifera","DD",NA,2020
1,"bottleneck sea cucumber","holothuroidea","holothuria impatiens","DD",NA,2020
1,"pinkfish","holothuroidea","holothuria edulis","LC",1,2020
1,NA,"holothuroidea","holothuria hawaiiensis","LC",1,2020
1,NA,"holothuroidea","holothuria fuscocinerea","LC",1,2020
1,"brown sandfish","holothuroidea","bohadschia vitiensis","DD",NA,2020
1,NA,"holothuroidea","holothuria stocki","DD",NA,2020
1,"brownspotted sandfish","holothuroidea","bohadschia similis","DD",NA,2020
1,"leopardfish","holothuroidea","bohadschia argus","LC",1,2020
1,"blackspotted sea cucumber","holothuroidea","pearsonothuria graeffei","LC",1,2020
1,"lollyfish","holothuroidea","holothuria atra","LC",1,2020
1,"harry blackfish","holothuroidea","actinopyga miliaris","VU",0.6,2020
1,NA,"holothuroidea","holothuria erinaceaus","LC",1,2020
1,NA,"holothuroidea","actinopyga varians","DD",NA,2020
1,NA,"holothuroidea","holothuria verrucosa","LC",1,2020
1,NA,"holothuroidea","holothuria arenicola","DD",NA,2020
1,"paddle grass","liliopsida","halophila decipiens","LC",1,2020
1,"two-spot bristletooth","actinopterygii","ctenochaetus binotatus","LC",1,2020
1,"orange spine surgeonfish","actinopterygii","naso lituratus","LC",1,2020
1,"blackstreak surgeonfish","actinopterygii","acanthurus nigricauda","LC",1,2020
1,"bluespine unicornfish","actinopterygii","naso unicornis","LC",1,2020
1,"longnose tang","actinopterygii","zebrasoma rostratum","DD",NA,2020
1,"palefin unicornfish","actinopterygii","naso brevirostris","LC",1,2020
1,"hawaiian bristletooth","actinopterygii","ctenochaetus hawaiiensis","LC",1,2020
1,"convict surgeonfish","actinopterygii","acanthurus triostegus","LC",1,2020
1,"yellowfin surgeonfish","actinopterygii","acanthurus xanthopterus","LC",1,2020
1,"humpback unicornfish","actinopterygii","naso brachycentron","LC",1,2020
1,"whitemargin unicornfish","actinopterygii","naso annulatus","LC",1,2020
1,"lined surgeonfish","actinopterygii","acanthurus lineatus","LC",1,2020
1,"bignose unicornfish","actinopterygii","naso vlamingii","LC",1,2020
1,"whitespotted surgeonfish","actinopterygii","acanthurus guttatus","LC",1,2020
1,"blue-spotted bristletooth","actinopterygii","ctenochaetus marginatus","LC",1,2020
1,"thompson's surgeonfish","actinopterygii","acanthurus thompsoni","LC",1,2020
1,"golden rim surgeonfish","actinopterygii","acanthurus nigricans","LC",1,2020
1,"mimic surgeonfish","actinopterygii","acanthurus pyroferus","LC",1,2020
1,"orange band surgeonfish","actinopterygii","acanthurus olivaceus","LC",1,2020
1,"whitebar surgeonfish","actinopterygii","acanthurus leucopareius","LC",1,2020
1,"sailfin tang","actinopterygii","zebrasoma veliferum","LC",1,2020
1,"gray unicornfish","actinopterygii","naso caesius","LC",1,2020
1,"brushtail tang","actinopterygii","zebrasoma scopas","LC",1,2020
1,"achilles tang","actinopterygii","acanthurus achilles","LC",1,2020
1,"ringtail surgeonfish","actinopterygii","acanthurus blochii","LC",1,2020
1,"whitetail bristletooth","actinopterygii","ctenochaetus flavicauda","LC",1,2020
1,"brown surgeonfish","actinopterygii","acanthurus nigrofuscus","LC",1,2020
1,"sleek unicornfish","actinopterygii","naso hexacanthus","LC",1,2020
1,"elongate surgeonfish","actinopterygii","acanthurus mata","LC",1,2020
1,"dropoff surgeonfish","actinopterygii","acanthurus nubilus","LC",1,2020
1,"striped bristletooth","actinopterygii","ctenochaetus striatus","LC",1,2020
1,"banded pipefish","actinopterygii","dunckerocampus dactyliophorus","DD",NA,2020
1,"red cornetfish","actinopterygii","fistularia petimba","LC",1,2020
1,"bluespotted cornetfish","actinopterygii","fistularia commersonii","LC",1,2020
1,"opossum pipefish","actinopterygii","microphis brachyurus","LC",1,2020
